Date,Price,Open,High,Low,Vol
11-04-2023,457.29,462.32,462.32,454.4,14.5
12-04-2023,464.07,457.94,467.16,456.79,13.55
13-04-2023,468.06,463.52,470.55,461.83,12.73
17-04-2023,470.7,469.55,471.55,464.37,10.71
18-04-2023,471.55,473.54,481.86,466.66,16.14
19-04-2023,467.96,471.55,474.04,466.41,7.37
20-04-2023,475.33,472.24,478.22,467.96,14.26
21-04-2023,469.75,475.23,475.23,465.76,8.48
24-04-2023,473.74,469.75,474.54,466.86,8.02
25-04-2023,472.09,473.74,474.93,470.45,6.89
26-04-2023,476.73,471.55,478.02,471.15,7.79
27-04-2023,480.12,477.03,480.52,475.03,7.09
28-04-2023,483.46,479.92,486.5,476.88,9.95
02-05-2023,478.77,481.02,482.51,473.09,11.54
03-05-2023,482.21,478.77,483.61,476.28,8.53
04-05-2023,479.32,482.11,484.9,477.28,5.65
05-05-2023,475.63,480.17,483.21,474.68,4.83
08-05-2023,498.96,478.52,500.76,476.63,23.52
09-05-2023,502.1,500.46,511.22,500.01,19.82
10-05-2023,507.93,506.44,511.32,502.8,12.48
11-05-2023,510.03,510.42,512.57,503.95,11.45
12-05-2023,514.36,512.32,518.9,508.73,19.77
15-05-2023,529.22,522.24,535.5,519.9,38.27
16-05-2023,519.55,532.31,534.3,517.25,16.51
17-05-2023,513.91,520.89,522.34,510.92,13.68
18-05-2023,506.89,517.2,519.3,505.54,12.29
19-05-2023,523.34,508.23,524.78,503.2,19.34
22-05-2023,520.89,523.34,525.38,517.75,9.98
23-05-2023,526.87,520.89,529.37,519.55,12.26
24-05-2023,518.6,525.53,528.02,517.55,7.65
25-05-2023,513.27,516.41,516.41,507.53,11.54
26-05-2023,516.85,513.32,518.15,510.62,8.36
29-05-2023,519.85,523.39,523.48,518.1,6.6
30-05-2023,517.2,519.85,521.89,516.41,5.13
31-05-2023,524.68,518.35,525.88,514.81,12.33
01-06-2023,533.55,525.88,534.6,521.24,12.51
02-06-2023,534.25,535.35,539.59,531.11,12.29
05-06-2023,544.57,537.34,547.11,536.24,15.01
06-06-2023,554.04,547.76,555.29,543.67,15.4
07-06-2023,566.2,557.08,573.23,550.45,20.86
08-06-2023,557.98,568.25,574.78,555.29,21.53
09-06-2023,560.57,562.66,564.71,557.58,9.36
12-06-2023,562.41,565.26,567.15,558.92,7.6
13-06-2023,560.47,565.95,569.29,559.03,12.85
14-06-2023,568.55,564.26,569.44,562.27,12.71
15-06-2023,566.7,570.04,573.23,566,12.48
16-06-2023,568.05,567.9,570.44,564.31,8.74
